id,marked,time
220150001,1,15:15:12
220150002,1,15:19:32
220150003,1,15:33:33
220150004,1,15:30:00
220150005,1,15:28:54
220150006,1,15:25:36
220150007,1,15:19:12
220150008,1,15:33:11
220150009,1,15:18:53
220150010,1,15:32:28
220150011,0,0
220150012,1,15:31:10
220150013,1,15:32:12
220150014,1,15:33:47
220150015,0,0
220150016,1,15:32:37
220150017,1,15:28:32
220150018,0,0
220150019,0,0
220150020,0,0
220150021,1,15:27:36
220150022,0,0
220150023,0,0
220150024,0,0
220150025,1,15:29:40
220150026,1,15:22:10
220150027,1,15:17:58
220150028,1,15:15:51
220150029,1,15:21:45
220150030,1,15:16:22
220150031,1,15:19:57
220150032,1,15:29:10
220150033,1,15:30:32
220150034,1,15:20:28
220150035,1,15:30:48
